,Source,Location,Latitude,Longitude,Speed_Max,Date,Description,Speed,Tempo,Distance,Duration,Start,Ascent,Descent,Elevation_Gain,Elevation_Max,Calories,Km_1,Km_2,Km_3,Km_4,Km_5,Km_6,Km_7,Km_8,Km_9,Km_10,Km_11,Km_12,Km_13,Km_14,Km_15,Km_16,Km_17,Km_18,Km_19
0,Nike+ 2.10.6  ,"Montréal, Canada",45.502876,-73.57789599999998,5.44,2011-09-17,Running 12.69 km in 1:12:57 hr (5:45 min/km),2.898579660649118,05:44,12.688460000000001,72.95791666666668,16:06:50,180.24289300000004,167.03003700000008,163.0,190.0,940.0,"Duration=5.483, Speed=3.04","Duration=5.633, Speed=2.96","Duration=5.083, Speed=3.28","Duration=6.3, Speed=2.65","Duration=5.5, Speed=3.03","Duration=5.55, Speed=3.0","Duration=5.9, Speed=2.82","Duration=5.9, Speed=2.82","Duration=5.833, Speed=2.86","Duration=5.9, Speed=2.82","Duration=6.033, Speed=2.76","Duration=5.9, Speed=2.82","Duration=3.867, Speed=3.03",,,,,,
1,Nike+ 2.10.6  ,"Montreal, Canada",45.49801599999999,-73.59828,4.929999999999999,2011-09-18,Running 9.79 km in 57:14 min (5:51 min/km),2.850524406029905,05:50,9.788373000000002,57.23141666666667,14:26:24,179.28100000000006,131.54432000000006,172.0,221.0,738.0,"Duration=6.117, Speed=2.72","Duration=5.85, Speed=2.85","Duration=5.483, Speed=3.04","Duration=6.283, Speed=2.65","Duration=5.267, Speed=3.16","Duration=5.633, Speed=2.96","Duration=6.133, Speed=2.72","Duration=5.417, Speed=3.08","Duration=5.767, Speed=2.89","Duration=5.2, Speed=2.4",,,,,,,,,
2,Nike+ 2.10.6  ,indoor,45.50266,-73.578186,5.009999999999999,2011-09-24,Running 7.41 km in 44:44 min (6:02 min/km),2.758947221368501,06:02,7.405911000000001,44.738749999999996,16:42:16,23.26736000000011,67.89354000000012,14.0,196.0,548.0,"Duration=6.233, Speed=2.67","Duration=6.017, Speed=2.77","Duration=5.417, Speed=3.08","Duration=5.95, Speed=2.8","Duration=6.583, Speed=2.53","Duration=6.033, Speed=2.76","Duration=5.683, Speed=2.93","Duration=2.833, Speed=2.34",,,,,,,,,,,
3,Nike+ 2.10.6  ,indoor,45.50221,-73.57816,3.920005833333334,2011-10-07,Running 2.94 km in 34:56 min (11:53 min/km),1.402561996244734,11:52,2.9401289999999998,34.937599999999996,21:32:59,116.70939499999994,77.62094499999996,110.0,153.0,194.0,"Duration=11.1, Speed=1.5","Duration=12.417, Speed=1.34","Duration=11.35, Speed=1.41",,,,,,,,,,,,,,,,
4,Nike+ 2.10.6  ,"Montréal, Canada",45.50268,-73.5783,3.65,2011-10-22,Running 5.50 km in 46:21 min (8:26 min/km),1.976353651863341,08:25,5.497034000000001,46.356700000000004,16:11:41,377.6467749999992,379.4694349999997,352.0,197.0,396.0,"Duration=8.267, Speed=2.02","Duration=8.017, Speed=2.08","Duration=8.0, Speed=2.08","Duration=8.917, Speed=1.87","Duration=9.017, Speed=1.85","Duration=4.183, Speed=2.11",,,,,,,,,,,,,
5,Nike+ 2.10.6  ,indoor,45.504470000000005,-73.57685000000001,3.890000000000001,2011-10-29,Running 6.02 km in 39:52 min (6:37 min/km),2.517903762573888,06:37,6.023979000000001,39.8743,15:31:04,320.30386399999986,321.8737510000002,281.0,61.0,435.0,"Duration=6.083, Speed=2.74","Duration=6.817, Speed=2.44","Duration=6.8, Speed=2.45","Duration=6.883, Speed=2.42","Duration=6.317, Speed=2.64","Duration=6.367, Speed=2.62","Duration=0.65, Speed=1.92",,,,,,,,,,,,
6,Nike+ 2.10.6  ,indoor,45.504329999999996,-73.57568,3.721863333333334,2011-10-30,Running 6.56 km in 42:27 min (6:29 min/km),2.573771971973858,06:28,6.556261999999999,42.4556,18:24:33,205.44317399999989,205.58598400000005,152.0,61.0,482.0,"Duration=6.267, Speed=2.66","Duration=6.2, Speed=2.69","Duration=6.283, Speed=2.65","Duration=6.483, Speed=2.57","Duration=6.283, Speed=2.65","Duration=6.55, Speed=2.54","Duration=4.35, Speed=2.34",,,,,,,,,,,,
7,Nike+ 2.10.6  ,"Montréal, Canada",45.50425,-73.577,3.82,2011-11-03,Running 5.37 km in 32:03 min (5:58 min/km),2.793608089146203,05:57,5.3714770000000005,32.04623333333333,13:30:58,194.84515299999984,151.47217899999984,167.0,53.0,397.0,"Duration=6.35, Speed=2.62","Duration=5.833, Speed=2.86","Duration=5.833, Speed=2.86","Duration=5.9, Speed=2.82","Duration=5.767, Speed=2.89","Duration=2.4, Speed=2.76",,,,,,,,,,,,,
8,Nike+ 2.10.6  ,indoor,45.505300000000005,-73.5793,3.519060277777778,2011-11-06,Running 6.76 km in 46:26 min (6:52 min/km),2.427758297838128,06:51,6.763873000000001,46.43428333333333,20:30:26,178.59788700000007,184.34373700000026,132.0,75.0,490.0,"Duration=7.55, Speed=2.21","Duration=6.583, Speed=2.53","Duration=6.6, Speed=2.53","Duration=6.583, Speed=2.53","Duration=6.667, Speed=2.5","Duration=6.583, Speed=2.53","Duration=5.85, Speed=2.64",,,,,,,,,,,,
9,Nike+ 2.10.6  ,"Montréal, Canada",45.50420400000001,-73.57717,4.18,2011-11-16,Running 6.30 km in 36:16 min (5:45 min/km),2.897256946343629,05:45,6.3033909999999995,36.26068333333333,14:01:47,267.2162829999998,292.9206559999998,231.0,69.0,467.0,"Duration=5.75, Speed=2.9","Duration=5.95, Speed=2.8","Duration=6.033, Speed=2.76","Duration=5.75, Speed=2.9","Duration=5.567, Speed=2.99","Duration=5.683, Speed=2.93","Duration=1.533, Speed=2.91",,,,,,,,,,,,
10,Nike+ 2.10.6  ,"Montréal, Canada",45.50419,-73.57704000000001,3.93,2011-11-17,Running 4.32 km in 25:06 min (5:48 min/km),2.870469740291554,05:48,4.323912,25.10571666666667,13:29:36,227.69570800000005,203.63517400000003,209.0,76.0,321.0,"Duration=5.883, Speed=2.83","Duration=5.717, Speed=2.92","Duration=5.633, Speed=2.96","Duration=5.833, Speed=2.86","Duration=2.033, Speed=2.68",,,,,,,,,,,,,,
11,Nike+ 2.10.6  ,indoor,45.5043,-73.57681999999998,3.831402222222223,2011-11-18,Running 5.44 km in 30:16 min (5:34 min/km),2.99665742303784,05:33,5.440925999999999,30.261083333333332,14:19:12,239.156582,225.73629399999993,208.0,61.0,406.0,"Duration=5.333, Speed=3.12","Duration=5.55, Speed=3.0","Duration=5.533, Speed=3.01","Duration=5.667, Speed=2.94","Duration=5.533, Speed=3.01","Duration=2.65, Speed=2.75",,,,,,,,,,,,,
12,Nike+ 2.10.6  ,"Montréal, Canada",45.504158,-73.57681,3.85,2011-11-19,Running 10.36 km in 58:30 min (5:39 min/km),2.950401673079854,05:38,10.35501,58.49491666666667,16:47:33,566.1565450000004,575.0159190000005,511.0,98.0,769.0,"Duration=5.817, Speed=2.87","Duration=5.583, Speed=2.99","Duration=5.9, Speed=2.82","Duration=5.567, Speed=2.99","Duration=5.7, Speed=2.92","Duration=5.517, Speed=3.02","Duration=5.5, Speed=3.03","Duration=5.517, Speed=3.02","Duration=5.633, Speed=2.96","Duration=5.45, Speed=3.06","Duration=2.233, Speed=2.97",,,,,,,,
13,Nike+ 2.10.6  ,"Montréal, Canada",45.502953,-73.57783,14.74,2011-11-22,Running 5.10 km in 18:33 min (3:38 min/km),4.585048719019959,03:38,5.103228,18.550250000000002,13:27:52,88.93337899999986,110.5709489999999,75.0,79.0,397.0,"Duration=1.667, Speed=10","Duration=1.117, Speed=14.93","Duration=4.317, Speed=3.86","Duration=5.917, Speed=2.82","Duration=5.567, Speed=2.77",,,,,,,,,,,,,,
14,Nike+ 2.10.6  ,"Montréal, Canada",45.50322,-73.578064,4.16,2011-12-02,Running 5.27 km in 29:06 min (5:31 min/km),3.020542844802797,05:31,5.273161,29.0961,13:23:53,250.0439670000001,248.989481,223.0,72.0,394.0,"Duration=5.25, Speed=3.17","Duration=5.533, Speed=3.01","Duration=5.583, Speed=2.99","Duration=5.717, Speed=2.92","Duration=5.9, Speed=2.82","Duration=1.117, Speed=2.91",,,,,,,,,,,,,
15,Nike+ 2.10.6  ,"Montréal, Canada",45.501819999999995,-73.57518999999999,3.970000000000001,2011-12-04,Running 8.79 km in 48:49 min (5:33 min/km),3.001090810019474,05:33,8.790243,48.81693333333333,21:13:04,640.9969859999998,614.3782959999998,595.0,202.0,656.0,"Duration=4.0, Speed=4.17","Duration=5.817, Speed=2.87","Duration=5.617, Speed=2.97","Duration=5.617, Speed=2.97","Duration=5.95, Speed=2.8","Duration=5.617, Speed=2.97","Duration=5.817, Speed=2.87","Duration=5.417, Speed=3.08","Duration=4.917, Speed=3.27",,,,,,,,,,
16,Nike+ 2.10.6  ,"Montréal, Canada",45.50282,-73.5782,5.23,2011-12-10,Running 6.64 km in 41:33 min (6:16 min/km),2.66134601647134,06:15,6.635211999999998,41.55298333333334,18:46:18,271.2962379999999,281.011128,243.0,203.0,492.0,"Duration=6.583, Speed=2.53","Duration=6.383, Speed=2.61","Duration=6.3, Speed=2.65","Duration=6.167, Speed=2.7","Duration=5.567, Speed=2.99","Duration=6.1, Speed=2.73","Duration=4.483, Speed=2.47",,,,,,,,,,,,
